Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Isabelle Kross,Spiekeroog,124-Isabelle_Kross,7.7167,53.7833,,2010-02-10,2015-01-01,1009246
Iván Allende,Hamburg,3115-Iv_n_Allende,10,53.5833,,2013-04-10,2015-01-01,7003673
Ivan Vlassenko,Bayreuth,3848-Ivan_Vlassenko,11.5833,49.45,,2014-04-24,2015-01-01,7004326
Jakob Willis,Spiekeroog,3815-Jakob_Willis,7.7167,53.7833,,2014-04-02,2015-01-01,1009246
Jan Casalicchio,Italy,3220-Jan_Casalicchio,12.8333,42.8333,,2013-06-11,2015-01-01,1000080
Janek Scholz,Aachen,3883-Janek_Scholz,6.1,50.7667,,2014-05-12,2015-01-01,7004799
Janette  Kranz,Spiekeroog,3889-Janette_Kranz,7.7167,53.7833,,2014-05-14,2015-01-01,1009246
Janina Vernal Schmidt,Hamburg,68-Janina_Vernal_Schmidt,10,53.5833,,2009-12-20,2015-01-01,7003673
Janine  Wiesemann,Spiekeroog,3757-Janine_Wiesemann,7.7167,53.7833,,2014-03-05,2015-01-01,1009246
Jannie Wullms,Spiekeroog,3930-Jannie_Wullms,7.7167,53.7833,,2014-05-29,2015-01-01,1009246
Jasmin Marjam Rezai Dubiel,Mainz,1375-Jasmin_Marjam_Rezai_Dubiel,8.2667,50,,2011-06-14,2015-01-01,7004449
Jennifer Gabel,Freiburg,122-Jennifer_Gabel,7.85,48,,2010-02-08,2015-01-01,1003143
Jennifer Roger,Spiekeroog,4034-Jennifer_Roger,7.7167,53.7833,,2014-07-30,2015-01-01,1009246
Jenny Augustin,Spiekeroog,2654-Jenny_Augustin,7.7167,53.7833,,2012-07-30,2015-01-01,1009246
Jenny Brumme,Barcelona,3966-Jenny_Brumme,2.1667,41.4167,,2014-06-18,2015-01-01,7007426
Jessica Barzen,Spiekeroog,3996-Jessica_Barzen,7.7167,53.7833,,2014-07-04,2015-01-01,1009246
Jesús Fernández Álvarez,Spiekeroog,3963-Jes_s_Fern_ndez_lvarez,7.7167,53.7833,,2014-06-17,2015-01-01,1009246
Joao Silva,Langeoog,2640-Joao_Silva,7.4860135,53.7460094,,2012-07-23,2015-01-01,
Joaquim Peito,Göttingen,3023-Joaquim_Peito,9.95,51.5333,,2013-02-14,2015-01-01,7005246
Johanna Eierstock,Spiekeroog,3057-Johanna_Eierstock,7.7167,53.7833,,2013-03-11,2015-01-01,1009246
Johannes Brambora,Spiekeroog,4014-Johannes_Brambora,7.7167,53.7833,,2014-07-15,2015-01-01,1009246
