Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Heidrun Witte,Las Palmas de Gran Canaria,"<a href=""http://www.romanistik.de/pers/86"">Dr. Heidrun Witte</a>",-15.4350514,28.1287799,,2010-01-12,2015-01-01,
Dr. Heike Muranyi,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3376"">Dr. Heike Muranyi</a>",7.7167,53.7833,,2013-08-13,2015-01-01,1009246
Dr. Heike Necker,Spiekeroog,"<a href=""http://www.romanistik.de/pers/2702"">Dr. Heike Necker</a>",7.7167,53.7833,,2012-08-22,2015-01-01,1009246
Dr. Hélène Stoye,Langeoog,"<a href=""http://www.romanistik.de/pers/3524"">Dr. Hélène Stoye</a>",7.4860135,53.7460094,,2013-11-02,2015-01-01,
Dr. Helmut Melzer,Leipzig,"<a href=""http://www.romanistik.de/pers/2849"">Dr. Helmut Melzer</a>",12.4167,51.3333,,2012-11-10,2015-01-01,7012329
Dr. Hendrik Schlieper,Paderborn,"<a href=""http://www.romanistik.de/pers/1074"">Dr. Hendrik Schlieper</a>",8.7333,51.7167,,2011-03-04,2015-01-01,7005101
Dr. Henning Hufnagel,Freiburg,"<a href=""http://www.romanistik.de/pers/108"">Dr. Henning Hufnagel</a>",7.85,48,,2010-01-25,2015-01-01,1003143
Dr. Henriette  Partzsch,Glasgow,"<a href=""http://www.romanistik.de/pers/1622"">Dr. Henriette  Partzsch</a>",-4.25,55.8833,,2011-09-05,2015-01-01,7017283
Dr. Hildegard Resinger,Barcelona,"<a href=""http://www.romanistik.de/pers/2248"">Dr. Hildegard Resinger</a>",2.1667,41.4167,,2012-04-17,2015-01-01,7007426
Dr. Holger Wochele,Jena,"<a href=""http://www.romanistik.de/pers/1050"">Dr. Holger Wochele</a>",11.5833,50.9333,,2011-02-23,2015-01-01,7005973
Dr. Hubert Poeppel,Regensburg,"<a href=""http://www.romanistik.de/pers/2639"">Dr. Hubert Poeppel</a>",12.1,49.0167,,2012-07-23,2015-01-01,7013496
Dr. Igor Candido,Berlin,"<a href=""http://www.romanistik.de/pers/3867"">Dr. Igor Candido</a>",13.4167,52.5333,,2014-05-05,2015-01-01,7003712
Dr. Ilka Kressner ,Albany,"<a href=""http://www.romanistik.de/pers/45"">Dr. Ilka Kressner</a>",-73.75,42.65,,2009-12-04,2015-01-01,7013266
Dr. Imre Gábor Majorossy ,Piliscsaba,"<a href=""http://www.romanistik.de/pers/37""> Dr. Imre Gábor Majorossy </a>",18.8257574,47.6328728,,2009-12-03,2015-01-01,
Dr. Ingo Feldhausen,Frankfurt am Main,"<a href=""http://www.romanistik.de/pers/698"">Dr. Ingo Feldhausen</a>",8.662009637,50.1213881,,2010-11-26,2015-01-01,
Dr. Ingo Lauggas,Wien,"<a href=""http://www.romanistik.de/pers/1906"">Dr. Ingo Lauggas</a>",16.3667,48.2167,,2011-12-09,2015-01-01,7003321
Dr. Inka Wissner,Zürich,"<a href=""http://www.romanistik.de/pers/3250"">Dr. Inka Wissner</a>",8.55,47.3833,,2013-06-24,2015-01-01,7003765
Dr. Irene M. Weiss,Mainz,"<a href=""http://www.romanistik.de/pers/3796"">Dr. Irene M. Weiss</a>",8.2667,50,,2014-03-20,2015-01-01,7004449
Dr. Irma Susana Carbajal Vaca,Guadalajara,"<a href=""http://www.romanistik.de/pers/4075"">Dr. Irma Susana Carbajal Vaca</a>",-3.1667,40.6333,,2014-08-28,2015-01-01,7002822
