Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Claudia Schweitzer,Spiekeroog,Claudia Schweitzer,7.7167,53.7833,,2013-11-08,2015-01-01,1009246
Dr. Christine Felbeck,Spiekeroog,Dr. Christine Felbeck,7.7167,53.7833,,2013-11-13,2015-01-01,1009246
Dr. Maria Hegner,Saarbrücken,Dr. Maria Hegner,6.9667,49.25,,2013-11-15,2015-01-01,7004454
Gabriella Lambrecht,Spiekeroog,Gabriella Lambrecht,7.7167,53.7833,,2013-11-16,2015-01-01,1009246
Marina-Rafaela Buch,Mainz,Marina-Rafaela Buch,8.2667,50,,2013-11-18,2015-01-01,7004449
Dr. Sandra Strigl,Spiekeroog,Dr. Sandra Strigl,7.7167,53.7833,,2013-11-24,2015-01-01,1009246
Dr. Corinne M. Dölling,Jena,Dr. Corinne M. Dölling,11.5833,50.9333,,2013-11-25,2015-01-01,7005973
Hebe Gargiulo,Spiekeroog,Hebe Gargiulo,7.7167,53.7833,,2013-11-28,2015-01-01,1009246
Dr. Sascha Diwersy,Köln,Dr. Sascha Diwersy,6.95,50.9333,,2013-11-29,2015-01-01,7004446
Silvia Verdiani,Torino,Silvia Verdiani,7.3667,45.1333,,2013-11-30,2015-01-01,7003154
Prof. Dr. Helene Blondeau,Miami,Prof. Dr. Helene Blondeau,-80.1833,25.7667,,2013-12-01,2015-01-01,7014044
Dr. Johanne Mohs,Bern,Dr. Johanne Mohs,7.4333,46.95,,2013-12-02,2015-01-01,7007557
Dr. Sandra Herling,Siegen,Dr. Sandra Herling,8.0333,50.8667,,2013-12-04,2015-01-01,7012712
Prof. Dr. Isabelle Mordellet-Roggenbuck,Freiburg,Prof. Dr. Isabelle Mordellet-Roggenbuck,7.85,48,,2013-12-05,2015-01-01,1003143
Prof. Dr. Roger Friedlein,Bochum,Prof. Dr. Roger Friedlein,7.1833,51.4667,,2013-12-05,2015-01-01,7004904
Mónica  Martín Álvarez ,Spiekeroog,Mónica  Martín Álvarez ,7.7167,53.7833,,2013-12-05,2015-01-01,1009246
Dr. Danielle  Dahan-Feucht,Konstanz,Dr. Danielle  Dahan-Feucht,9.1667,47.6667,,2013-12-06,2015-01-01,7005174
Orlando Valenzuela,Spiekeroog,Orlando Valenzuela,7.7167,53.7833,,2013-12-09,2015-01-01,1009246
Cristina Murrone,Spiekeroog,Cristina Murrone,7.7167,53.7833,,2013-12-09,2015-01-01,1009246
Prof. Dr. Alfonso de Toro,Leipzig,Prof. Dr. Alfonso de Toro,12.4167,51.3333,,2013-12-10,2015-01-01,7012329
Dr. Julie Sentis,Paris,Dr. Julie Sentis,2.3333,48.8667,,2013-12-11,2015-01-01,7008038
Dr. Jeanne Ruffing,Saarbrücken,Dr. Jeanne Ruffing,6.9667,49.25,,2013-12-11,2015-01-01,7004454
Dr. Laura Morgenthaler,Osnabrück,Dr. Laura Morgenthaler,8.05,52.2833,,2013-12-11,2015-01-01,7005252
Sandra  Villaverde Santos,Heilbronn,Sandra  Villaverde Santos,9.2333,49.1333,,2013-12-12,2015-01-01,7012495
Dr. Johanna  Wolf,Salzburg,Dr. Johanna  Wolf,13.05,47.8,,2013-12-19,2015-01-01,7003256
Prof. Dr. Nadine Rentel,Zwickau,Prof. Dr. Nadine Rentel,12.5,50.7333,,2013-12-20,2015-01-01,7012354
Dr. Gabriela Cordone,Lausanne,Dr. Gabriela Cordone,6.65,46.5333,,2013-12-29,2015-01-01,7007299
Prof. Dr. Sabine Schlickers,Bremen,Prof. Dr. Sabine Schlickers,8.8,53.0833,,2014-01-05,2015-01-01,7005286
Prof. Dr. William Diaz,Spiekeroog,Prof. Dr. William Diaz,7.7167,53.7833,,2014-01-05,2015-01-01,1009246
Dr. Kim Schulte ,Castellón,Dr. Kim Schulte ,-0.1667,40.1667,,2014-01-09,2015-01-01,7002815
Dr. Teresa Staudacher,Langeoog,Dr. Teresa Staudacher,7.4860135,53.7460094,,2014-01-09,2015-01-01,
Dr. Marina Corrêa,Wien,Dr. Marina Corrêa,16.3667,48.2167,,2014-01-10,2015-01-01,7003321
Melanie Uth,Köln,Melanie Uth,6.95,50.9333,,2014-01-14,2015-01-01,7004446
Karla Hahndorf,Spiekeroog,Karla Hahndorf,7.7167,53.7833,,2014-01-20,2015-01-01,1009246
Dr. Arndt Lainck,Spiekeroog,Dr. Arndt Lainck,7.7167,53.7833,,2014-01-21,2015-01-01,1009246
Marcos Zampieri,Köln,Marcos Zampieri,6.95,50.9333,,2014-01-23,2015-01-01,7004446
Dr. Trinidad Marín Villora,Breslau,Dr. Trinidad Marín Villora,17,51.1,,2014-01-24,2015-01-01,7007601
 Inna Kyselova ,Wien, Inna Kyselova ,16.3667,48.2167,,2014-01-26,2015-01-01,7003321
Lisa Zeller,Mainz,Lisa Zeller,8.2667,50,,2014-01-27,2015-01-01,7004449
PD Dr. Lydia  Bauer,Potsdam,PD Dr. Lydia  Bauer,13.0667,52.4,,2014-01-27,2015-01-01,7003728
Claudia  Damian,Spiekeroog,Claudia  Damian,7.7167,53.7833,,2014-01-27,2015-01-01,1009246
Dr. Elena Sánchez López,Sant Vicent del Raspeig,Dr. Elena Sánchez López,-0.531432645,38.4305585,,2014-01-29,2015-01-01,
Dr. Viktoria Adam,Heidelberg,Dr. Viktoria Adam,8.7,49.4167,,2014-01-29,2015-01-01,7005177
Dr. Myriam Benarroch,Spiekeroog,Dr. Myriam Benarroch,7.7167,53.7833,,2014-02-01,2015-01-01,1009246
Hanna Budig,Bamberg,Hanna Budig,10.9,49.9,,2014-02-03,2015-01-01,7004325
Dr. Evelyn Dueck,Neuchâtel,Dr. Evelyn Dueck,6.9167,46.9833,,2014-02-06,2015-01-01,7007292
Agathe  Mareuge,Spiekeroog,Agathe  Mareuge,7.7167,53.7833,,2014-02-07,2015-01-01,1009246
Dr. Eugenia Ortiz Gambetta,Spiekeroog,Dr. Eugenia Ortiz Gambetta,7.7167,53.7833,,2014-02-10,2015-01-01,1009246
Dr. Juliane Tauchnitz,Leipzig,Dr. Juliane Tauchnitz,12.4167,51.3333,,2014-02-11,2015-01-01,7012329
