Name,website,univ--address
PD Dr. Thomas Stauder,https://www.philhist.uni-augsburg.de/lehrstuehle/romanistik/literaturwissenschaft/prof_privdoz/stauder/,Universität Augsburg --  Universitätsstraße 10  86159 Augsburg Deutschland 
Alexander Kagerer,##NA##,Ludwig-Maximilians-Universität München --  Schellingstr.  3 80799  München Deutschland 
PD Dr. Gerhild Fuchs,##NA##,Leopold-Franzens-Universität Innsbruck --   Innsbruck Österreich 
Tobias Kraft,http://www.uni-potsdam.de/romanistik/ette/kraft/index.html,Universität Potsdam --  Am Neuen Palais 10 14469 Potsdam Deutschland 
Weitere Publikationen,http://www.letras.ufmg.br/profs/norbertankenbauer/,Universidade Federal de Minas Gerais --  Av. Antônio Carlos 6627 31270-901 Belo Horizonte Brasilien 
Dr. Marion Kühn,http://www.phil.uni-passau.de/en/die-fakultaet/lehrstuehle-professuren/romanistik/landeskunde-frankreich/mitarbeiter/dr-marion-kuehn.html,Universität Passau --  Deutschland 
PD Dr. Caroline Lüderssen,http://www.div-web.de/deutsch/ueber-uns.html,Universität Heidelberg; Frankfurter Stiftung für deutsch-italienische Studien --  Seminarstr.  3 69117 Heidelberg Deutschland 
Serena Bartali,##NA##,Eberhard-Karls-Universität Tübingen --  Wilhelmstraße 50 72074 Tübingen Deutschland 
Maurella Carbone,##NA##,##NA## --   Frankfurt am Main Deutschland 
Prof. Dr. Margarete Zimmermann,http://www.geisteswissenschaften.fu-berlin.de/we05/mitarbeiter/zimmermann/index.html,Freie Universität Berlin --   Berlin Deutschland 
Prof. Dr. Wolfgang Asholt, http://www.irl.uni-osnabrueck.de/romanistik/mitarbeiter/washolt,Universität Osnabrück --  Neuer Graben 40 49074 Osnabrück Deutschland 
Prof. Dr. Benedicte Vauthier,http://www.espanol.unibe.ch/content/nuestro_instituto/personal/personal_literatura/profesora_de_literatura_dra_bndicte_vauthier/index_spa.html,Universität Bern --  Länggassstrasse  49 3012 Bern Schweiz 
Prof. Dr. Albrecht  Buschmann,http://www.romanistik.uni-rostock.de/abteilungen/spanische-und-franzoesische-literaturwissenschaft/homepage-prof-dr-a-buschmann/,Universität Rostock --  August-Bebel-Str.  28 18055 Rostock Deutschland 
Nina Hahne,##NA##,##NA## -- ##NA##
Zuzana Pesselová,##NA##,Universität Bremen --  Deutschland 
Maria Piovesana,##NA##,Ruhr-Universität Bochum --   Bochum Deutschland 
Vesna  Stirnadel,##NA##,Universität des Saarlandes --  Deutschland 
Dr. Viviane  Azarian,##NA##,##NA## -- ##NA##
Robert Beck,##NA##,##NA## --  Deutschland 
Dr. Anna Albini,##NA##,##NA## -- ##NA##
Julia Wittemann,##NA##,Universität Mannheim --   Mannheim Deutschland 
Dr. Rolando Carrasco,##NA##,##NA## -- ##NA##
Sarah Burnautzki,##NA##,##NA## -- ##NA##
Prof. Dr. Heidi Siller-Runggaldier,##NA##,Leopold-Franzens-Universität Innsbruck --  Innrain  52 6020 Innsbruck Österreich 
Prof. Dr. Gudrun Bachleitner-Held,##NA##,Universität Salzburg --  Erzabt-Klotz-Strasse 1  5020 Salzburg Österreich 
Géraldine Desmarchelier,##NA##,##NA## --  Deutschland 
Prof. Dr. Gudrun Ziegler,http://wwwde.uni.lu/flshase/organigramm/studiendirektoren/gudrun_ziegler,Universität Luxemburg --  Luxemburg 
Ruth Katharina Kopp,www.translation-and-consultancy.de,Ruprecht-Karls-Universität Heidelberg --  Fichtestraße 7 69126 Heidelberg Deutschland 
Dr. Michael Zimmermann,##NA##,##NA## -- ##NA##
Zeno Zelinsky,##NA##,##NA## -- ##NA##
Ulrike  Pfeifer,##NA##,Universitat de les Illes Balears --  Crta. Valldemossa km 7.5  07122 Palma de Mallorca (Illes Balears) Spanien 
Mariano Dharandas Mendez,##NA##,##NA## -- ##NA##
Dr. Juliane Blank,##NA##,##NA## -- ##NA##
Dr. Maroua El Naggare,##NA##,##NA## -- ##NA##
Sekretariat  Fremdsprachendidaktiken,##NA##,##NA## --  Deutschland 
Nicholas Catasso,##NA##,##NA## -- ##NA##
Virginie Ransinan,www.ciera.fr,CIERA --  Deutschland 
Christoph  Behrens,##NA##,Universität Rostock --  August-Bebel-Str.  28 18051  Rostock  Deutschland 
Dr. Virginie Geisler,##NA##,Universität des Saarlandes --  Deutschland 
Julia Engels,##NA##,Christian-Albrechts-Universität zu Kiel --   Kiel Deutschland 
Dr. Julia Pröll,http://www.uibk.ac.at/romanistik/personal/proell/,Leopold-Franzens-Universität Innsbruck --   Innsbruck Österreich 
Tanja Bollow,##NA##,Universität Paderborn --  Deutschland 
Dr. Simona Bartoli Kucher,http://www.uni-graz.at/simona.bartolikucher/site.php?show=1,Karl-Franzens-Universität Graz --   Graz Österreich 
Dr. Matthias Bürgel,##NA##,Universität zu Köln --  Deutschland 
Robert Schikowski,##NA##,##NA## -- ##NA##
Dr. Francesca Bravi,##NA##,Universität Kiel --  Deutschland 
Dr. Laura Sergo,##NA##,Universität des Saarlandes --  Deutschland 
Jakob Willis,##NA##,##NA## -- ##NA##
Silvia Eunice Gutiérrez De la Torre,##NA##,##NA## --  Deutschland 
Ingrid Mechtler,##NA##,##NA## -- ##NA##
Martina Albrich,http://www.uibk.ac.at/msp/mitarbeiterinnen/,Leopold-Franzens-Universität Innsbruck --   Innsbruck Österreich 
Prof. Dr. Gerda Haßler,http://www.uni-potsdam.de/romanistik/hassler/hassler/hassler.html,Universität Potsdam --   Potsdam Deutschland 
Dr. Doris Eibl,##NA##,##NA## -- ##NA##
Silvia Di Cioccio,##NA##,##NA## -- ##NA##
Cord-Christian Casper,##NA##,##NA## -- ##NA##
Susan Chales de Beaulieu,##NA##,##NA## -- ##NA##
Prof. Dr. Andrea Oberhuber,##NA##,##NA## -- ##NA##
Nico Balzarin,##NA##,##NA## -- ##NA##
Prof. Dr. Christoph Vatter,http://www.romanistik.uni-saarland.de/de/vatter/aktuelles.html,Universität des Saarlandes --  Campus C 5.2  66123 Saarbrücken Deutschland 
Stefan Schreckenberg,##NA##,##NA## -- ##NA##
Prof. Dr. Daniel Reimann,https://www.uni-due.de/romanistik/personal/reimann/index.php,Universität Duisburg-Essen --  Universitätsstraße 12 45151 Essen Deutschland 
Dr. Marie Guthmueller,##NA##,Ruhr-Universität Bochum --  Deutschland 
Dr. Marc-Olivier Hinzelin,http://www.hinzelin.net/,Universität Hamburg --  Von-Melle-Park 6 20146 Hamburg Deutschland 
Dr. Pia Claudia Doering,##NA##,##NA## -- ##NA##
Dr. Aouicha Mohr,##NA##,##NA## -- ##NA##
