id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom0473;2013-03-05;kaTA;beTA;spFR;dzLW dzSW dzMK;Aufruf zur Einreichung von Sektionsvorschlägen für den 9. Kongress des Frankoromanistenverbands 24. bis 27. September 2014 Westfälische Wilhelms-Universität Münster
rom0646;2013-03-05;kaTA;beTA;spPT spES;dzMK;CfA: Sammelband „¡muestra! Kino aus Spanien und Lateinamerika in Deutschland“ (lateinamerikanische Filmwissenschaft)
rom3416;2013-03-07;kaST;bePR;spFR spES;dzLW;W3-Professur für Romanistische Literatur- und Kulturwissenschaft mit den Schwerpunkten Spanisch und Französisch (Nachfolge Vittoria Borsò)
rom1476;2013-03-07;kaST;beWS;spÜG;dzLW dzMK;Doktorandenstellen IDK MIMESIS für Literatur- und Kunstwissenschaften
rom0499;2013-03-07;kaWI;beAM;spIT spÜG;dzLW dzMK dzWT;Ausschreibung: DFG-Villa Vigoni-Gespräche 2014 in den Geistes- und Sozialwissenschaften
rom1661;2013-03-07;kaWI;beAM;spÜG;dzLW dzSW dzMK dzDK;Friedwart Bruckhaus-Förderpreis 2013/2014 für junge Wissenschaftler und Journalisten
rom3695;2013-03-07;kaTA;beSV;spFR spIT spPT spES spÜG;dzLW dzSW dzMK dzDK dzWT;Workshop „Wissenschaftliches Bloggen in Deutschland: Geschichte Perspektiven praktische Umsetzung“
rom1817;2013-03-07;kaTA;beTA;spFR spIT spPT spES spÜG;dzMK;International Summer School: “Representations of Horror in Contemporary Media and Culture”
rom3323;2013-03-07;kaST;bePR;spÜG;dzMK;W 3-Professur für Medienkulturwissenschaft
rom3419;2013-03-07;kaST;bePR;spFR spIT spES;dzSW;W3-Professur für Romanistische Sprachwissenschaft (Ital. Frz. oder Sp.)
rom0068;2013-03-07;kaST;beWS;spFR spIT spPT spES;dzSW;12 Promotionsstellen: DFG-Graduiertenkollegs „Ambiguität - Produktion und Rezeption“
rom3343;2013-03-07;kaST;beWS;spFR spPT spES;dzSW;W2-Hochschuldozentur für Romanische Sprachwissenschaft
rom1898;2013-03-07;kaST;bePR;spÜG;dzSW;Juniorprofessur (W 1) für Allgemeine Sprachwissenschaft mit Schwerpunkt Pragmatik 
rom3547;2013-03-07;kaST;beWS;spÜG;dzWT;Wiss. Mitarbeiterin/Mitarbeiter: Schwerpunkt Koordination Studienprogramm am International Graduate Centre for the Study of Culture
rom2863;2013-03-08;kaWI;beAM;spFR;dzLW;Romain-Rolland-Preis für deutsch-französische Literaturübersetzungen
rom1218;2013-03-08;kaTA;beTA;spIT;dzLW;CfP: «Umana cosa è aver compassione degli afflitti...»:  raccontare consolare curare nella narrativa europea da Boccaccio al Seicento
rom0992;2013-03-09;kaTA;beTA;spES spWR;dzSW;CfP: Los diccionarios de alemán: evolución y nuevas perspectivas / Die Wörterbücher des Deutschen: Evolution und Ausblick
rom0782;2013-03-11;kaTA;beTA;spIT;dzSW;CfP: Der lateinische Boccaccio/Il Boccaccio latino
rom0616;2013-03-12;kaTA;beTA;spÜG;dzMK;CfA: Die Geistes- und Sozialwissenschaften im Museum : Museologie-Workshop
rom0435;2013-03-13;kaST;beWS;spIT;dzLW dzMK;Assistente-dottorando in Letteratura e civiltà italiana
rom1743;2013-03-14;kaST;beSTI;spPT spES;dzLW;Hilde-Domin-Stipendium für lateinamerikanisch-deutsche Literaturbeziehungen
rom0250;2013-03-14;kaST;beWS;spÜG;dzLW dzMK;6-8 Promotionsstellen im Internationalen Doktorandenkolleg (IDK) MIMESIS für Literatur- und Kunstwissenschaften im Elitenetzwerk Bayern
rom2902;2013-03-14;kaTA;beTP;spÜG;dzLW dzMK dzWT;Semiotik Pragmatik und Ästhetik an der Schnittstelle von Musik und Dichtung
rom3109;2013-03-15;kaTA;beTP;spÜG;dzLW dzMK;The Poetics of Multilingualism – La Poétique du plurilinguisme
rom3131;2013-03-15;kaTA;beTP;spÜG;dzLW dzMK;Trilaterale Forschungskonferenzen in der Villa Vigoni - Konzepte der Rezeption: Poetik Ästhetik Kulturtransfer
rom1177;2013-03-15;kaTA;beTA;spÜG;dzSW;Cfp: Sprachnormen im Kontext. Jahrestagung der Vereinigung Angewandte Linguistik Schweiz
rom3126;2013-03-18;kaTA;beTP;spFR spIT spES spÜG;dzLW;Translation and Transfer of Knowledge in Encyclopedic Compilations 1680-1830
rom2648;2013-03-18;kaST;beWS;spÜG;dzSW;Poste de post-doctorant 2013/2014
